method,transition,metric,variable,value
afn,hg38->ce11,roc_auc,worse_count,-2
afn,ce11->hg38,accuracy,worse_count,-2
afn,ce11->hg38,pr_auc,worse_count,-3
afn,ce11->hg38,roc_auc,worse_count,-3
afn,ce11->mm10,accuracy,worse_count,-1
afn,ce11->mm10,pr_auc,worse_count,-1
afn,ce11->mm10,roc_auc,worse_count,-1
cdan,mm10->ce11,accuracy,worse_count,-2
cdan,mm10->ce11,pr_auc,worse_count,-2
cdan,mm10->ce11,roc_auc,worse_count,-1
cdan,hg38->ce11,accuracy,worse_count,-3
cdan,hg38->ce11,pr_auc,worse_count,-3
cdan,hg38->ce11,roc_auc,worse_count,-1
cdan,ce11->hg38,accuracy,worse_count,-2
cdan,ce11->hg38,pr_auc,worse_count,-2
cdan,ce11->hg38,roc_auc,worse_count,-1
cdan,ce11->mm10,accuracy,worse_count,0
cdan,ce11->mm10,pr_auc,worse_count,-1
cdan,ce11->mm10,roc_auc,worse_count,-1
dan,mm10->ce11,accuracy,worse_count,-3
dan,mm10->ce11,pr_auc,worse_count,-4
dan,mm10->ce11,roc_auc,worse_count,-3
dan,hg38->ce11,accuracy,worse_count,-3
dan,hg38->ce11,pr_auc,worse_count,-4
dan,hg38->ce11,roc_auc,worse_count,-4
dan,ce11->hg38,accuracy,worse_count,-3
dan,ce11->hg38,pr_auc,worse_count,-4
dan,ce11->hg38,roc_auc,worse_count,-4
dan,ce11->mm10,accuracy,worse_count,-1
dan,ce11->mm10,pr_auc,worse_count,-2
dan,ce11->mm10,roc_auc,worse_count,-1
dann,mm10->ce11,accuracy,worse_count,-3
dann,mm10->ce11,pr_auc,worse_count,-4
dann,mm10->ce11,roc_auc,worse_count,-3
dann,hg38->ce11,accuracy,worse_count,-2
dann,hg38->ce11,pr_auc,worse_count,-4
dann,hg38->ce11,roc_auc,worse_count,-3
dann,ce11->hg38,accuracy,worse_count,-2
dann,ce11->hg38,pr_auc,worse_count,-2
dann,ce11->hg38,roc_auc,worse_count,-3
dann,ce11->mm10,accuracy,worse_count,0
dann,ce11->mm10,pr_auc,worse_count,-1
dann,ce11->mm10,roc_auc,worse_count,-1
jan,mm10->ce11,accuracy,worse_count,-2
jan,mm10->ce11,pr_auc,worse_count,-3
jan,mm10->ce11,roc_auc,worse_count,-3
jan,hg38->ce11,accuracy,worse_count,-3
jan,hg38->ce11,pr_auc,worse_count,-4
jan,hg38->ce11,roc_auc,worse_count,-2
jan,ce11->hg38,accuracy,worse_count,-2
jan,ce11->hg38,pr_auc,worse_count,-2
jan,ce11->hg38,roc_auc,worse_count,-3
jan,ce11->mm10,accuracy,worse_count,0
jan,ce11->mm10,pr_auc,worse_count,0
jan,ce11->mm10,roc_auc,worse_count,0
mcc,mm10->ce11,accuracy,worse_count,-2
mcc,mm10->ce11,pr_auc,worse_count,-3
mcc,mm10->ce11,roc_auc,worse_count,-3
mcc,hg38->ce11,accuracy,worse_count,-1
mcc,hg38->ce11,pr_auc,worse_count,-2
